"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-06-09,2019-06-12,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-06-12,2019-06-29,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-18,2019-03-20,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-31,2019-11-02,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-18,2019-07-20,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-22,2019-10-25,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-04,2019-01-16,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2020-01-09,2020-04-01,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-02-28,2019-03-05,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-17,2019-05-18,"White","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2020-05-17,2020-06-04,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-19,2019-10-21,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-10,2019-09-12,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-01-27,2020-01-31,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-01-26,2019-01-31,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-19,2019-08-21,"Asian","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-28,2019-03-13,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-18,2019-02-20,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-28,2019-03-08,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-09-25,2020-09-30,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-06,2019-03-08,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-21,2019-11-07,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2020-11-07,2020-11-20,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-20,2019-03-11,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-20,2019-07-26,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-20,2019-08-22,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-09,2019-02-15,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-07,2019-06-08,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-07-06,2019-07-19,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-07-12,2019-07-13,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-01,2019-03-06,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-24,2019-05-31,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-03-31,2019-04-02,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-13,2019-04-05,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-04,2019-01-08,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-09-17,2020-09-26,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-09,2019-06-15,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-07-21,2020-07-24,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-12,2019-04-14,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-16,2019-08-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-11-21,2020-12-01,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-10,2019-10-16,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-20,2019-05-25,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-12-13,2020-12-14,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-01,2019-04-02,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-07,2019-07-05,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-27,2019-10-10,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
